N°,Type,Date,Famille,Ligne,Référence,Désignation,Quantité,PU Achat,Montant HT,% Rem,% Marge
N° 22-12-317,FACTURE,08/12/2022,Produits,Article,CBC,CERCUEIL EN  BOIS DE CHENE  INCLUS PIQUET ET PLAQUE GRAVEE,"1,00","0,00","1000,00","0,00","100,00"
N° 22-12-317,FACTURE,08/12/2022,Produits,Article,PFSB,POSE ET FOURNITURE SEMELLE BETON,"1,00","0,00","291,67","0,00","100,00"
N° 22-12-317,FACTURE,08/12/2022,Services,Article,ACPP,ACHAT CONCESSION PERPETUELLE (PANTIN),"1,00","0,00","3806,00","0,00","0,00"
N° 22-12-316,AVOIR,07/12/2022,Services,Article,REM,REMISE COMMERCIALE,"1,00","0,00","-25,00","0,00","0,00"
N° 22-12-315,FACTURE,07/12/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","416,67","0,00","0,00"
N° 22-12-315,FACTURE,07/12/2022,Services,Article,EX1,EXHUMATION 1 CORPS,"3,00","0,00","425,00","0,00","0,00"
N° 22-12-315,FACTURE,07/12/2022,Services,Article,CR2M,CREUSEMENT 2M,"1,00","0,00","666,67","0,00","0,00"
N° 22-12-315,FACTURE,07/12/2022,Produits,Article,GA,"GESTION ADMINISTRATIVE : DEMARCHES, TRANSPORT LIEU DE DECES VERS AEROPORT","1,00","0,00","1250,00","0,00","100,00"
N° 22-12-315,FACTURE,07/12/2022,Produits,Article,TC,TAXES CONSULAIRES,"1,00","0,00","42,00","0,00","100,00"
N° 22-12-315,FACTURE,07/12/2022,Produits,Article,TAE,TRANSFERT AERIEN (air france),"3,00","0,00","4375,00","0,00","100,00"
N° 22-12-315,FACTURE,07/12/2022,Produits,Article,CERPEXP,CERCUEIL EXPORT EN PEUPLIER ZINGUÉ / ENVELOPPE ZINGUE,"3,00","0,00","2000,00","0,00","100,00"
N° 22-12-314,FACTURE,06/12/2022,Services,Article,FCPL,FRAIS DE CREMATION PERE LACHAISE,"1,00","0,00","910,00","0,00","0,00"
N° 22-12-314,FACTURE,06/12/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","333,33","0,00","0,00"
N° 22-12-314,FACTURE,06/12/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE,"1,00","0,00","250,00","0,00","100,00"
N° 22-12-314,FACTURE,06/12/2022,Produits,Article,TRANC,TRANSFERT LIEU DE DECES VERS CREMATORIUM,"1,00","0,00","166,67","0,00","100,00"
N° 22-12-314,FACTURE,06/12/2022,Produits,Article,GA,GESTION ADMINISTRATIVE : DEMARCHES MAIRIE ET AUTRES,"1,00","0,00","166,67","0,00","100,00"
N° 22-12-314,FACTURE,06/12/2022,Produits,Article,URN,URNE,"1,00","0,00","166,67","0,00","100,00"
N° 22-12-314,FACTURE,06/12/2022,Produits,Article,CRCR,CERCUEIL CREMATION,"1,00","0,00","658,33","0,00","100,00"
N° 22-12-313,FACTURE,06/12/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","416,67","0,00","0,00"
N° 22-12-313,FACTURE,06/12/2022,Produits,Article,AVPT,A VALOIR SUR PIERRE TOMBALE A VENIR,"1,00","0,00","6000,00","0,00","100,00"
N° 22-12-313,FACTURE,06/12/2022,Services,Article,OFC,OUVERTURE FERMETURE CAVEAU APRES INHUMATION,"1,00","0,00","166,67","0,00","0,00"
N° 22-12-313,FACTURE,06/12/2022,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,"1,00","0,00","208,33","0,00","100,00"
N° 22-12-313,FACTURE,06/12/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),"1,00","0,00","541,67","0,00","100,00"
N° 22-12-313,FACTURE,06/12/2022,Produits,Article,FRC,FRAIS DE CULTE,"1,00","0,00","125,00","0,00","100,00"
N° 22-12-313,FACTURE,06/12/2022,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,"1,00","0,00","227,27","0,00","100,00"
N° 22-12-313,FACTURE,06/12/2022,Produits,Article,GAD,GESTION ADMINISTRATIVE : DEMARCHES MAIRIE ET AUTRES,"1,00","0,00","375,00","0,00","100,00"
N° 22-12-313,FACTURE,06/12/2022,Produits,Article,CBP,CERCUEIL EN BOIS DE CHENE (+4 POIGNETS) INCLUS POTEAU ET PLAQUES GRAVEES,"1,00","0,00","666,67","0,00","100,00"
N° 22-12-313,FACTURE,06/12/2022,Produits,Article,CAV2,CAVEAU 2 CASES COMPLET,"1,00","0,00","2214,00","0,00","100,00"
N° 22-12-313,FACTURE,06/12/2022,Produits,Article,ACH30,ACHAT CONCESSION 30 ANS,"1,00","0,00","782,00","0,00","100,00"
N° 22-12-312,FACTURE,06/12/2022,Services,Article,REM,REMISE COMMERCIALE,"1,00","0,00","-291,67","0,00","0,00"
N° 22-12-312,FACTURE,06/12/2022,Produits,Article,P5,"PROMO 5
STELE P1 TARN SAINT SALVY 
REF : GO709050","1,00","0,00","2416,67","0,00","100,00"
N° 22-12-312,FACTURE,06/12/2022,Produits,Article,CAV3,CAVEAU 3 CASES,"1,00","0,00","2500,00","0,00","100,00"
N° 22-12-312,FACTURE,06/12/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","416,67","0,00","0,00"
N° 22-12-312,FACTURE,06/12/2022,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,"1,00","0,00","208,33","0,00","100,00"
N° 22-12-312,FACTURE,06/12/2022,Produits,Article,FRC,FRAIS DE CULTE,"1,00","0,00","125,00","0,00","100,00"
N° 22-12-312,FACTURE,06/12/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),"1,00","0,00","541,67","0,00","100,00"
N° 22-12-312,FACTURE,06/12/2022,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,"1,00","0,00","318,18","0,00","100,00"
N° 22-12-312,FACTURE,06/12/2022,Produits,Article,GA,"GESTION ADMINISTRATIVE : DEMARCHES, TRANSPORT LIEU DE DECES VERS AEROPORT","1,00","0,00","791,67","0,00","100,00"
N° 22-12-312,FACTURE,06/12/2022,Produits,Article,CBC,CERCUEIL EN  BOIS DE CHENE  INCLUS PIQUET ET PLAQUE GRAVEE,"1,00","0,00","1000,00","0,00","100,00"
N° 22-12-312,FACTURE,06/12/2022,Produits,Article,PFSB,POSE ET FOURNITURE SEMELLE BETON,"1,00","0,00","291,67","0,00","100,00"
N° 22-12-312,FACTURE,06/12/2022,Services,Article,ACPP,ACHAT CONCESSION PERPETUELLE (PANTIN),"1,00","0,00","3806,00","0,00","0,00"
N° 22-11-311,FACTURE,29/11/2022,Produits,Article,RPM,RETRAIT PM,"1,00","0,00","166,67","0,00","100,00"
N° 22-11-311,FACTURE,29/11/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","416,67","0,00","0,00"
N° 22-11-311,FACTURE,29/11/2022,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,"1,00","0,00","208,33","0,00","100,00"
N° 22-11-311,FACTURE,29/11/2022,Produits,Article,FRC,FRAIS DE CULTE,"1,00","0,00","125,00","0,00","100,00"
N° 22-11-311,FACTURE,29/11/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),"1,00","0,00","541,67","0,00","100,00"
N° 22-11-311,FACTURE,29/11/2022,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,"1,00","0,00","227,27","0,00","100,00"
N° 22-11-311,FACTURE,29/11/2022,Produits,Article,GA,GESTION ADMINISTRATIVE : DEMARCHES MAIRIE ET AUTRES,"1,00","0,00","375,00","0,00","100,00"
N° 22-11-311,FACTURE,29/11/2022,Produits,Article,CBP,CERCUEIL EN BOIS DE PEUPLIER HERMETIQUE INCLUS POTEAU ET PLAQUES GRAVEES,"1,00","0,00","666,67","0,00","100,00"
N° 22-11-311,FACTURE,29/11/2022,Services,Article,CR2M,CREUSEMENT 2M PLEINE TERRE ET FERMETURE OU OUVERTURE/FERMETURE DE CAVEAU,"1,00","0,00","541,67","0,00","0,00"
N° 22-11-310,FACTURE,28/11/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-11-310,FACTURE,28/11/2022,Produits,Article,PHF,PORTEUR (HORS FORFAIT),"3,00","100,00","300,00","0,00","0,00"
N° 22-11-309,FACTURE,28/11/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-11-309,FACTURE,28/11/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-11-309,FACTURE,28/11/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-11-309,FACTURE,28/11/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-11-309,FACTURE,28/11/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-11-309,FACTURE,28/11/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-11-309,FACTURE,28/11/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-11-309,FACTURE,28/11/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-11-309,FACTURE,28/11/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-11-309,FACTURE,28/11/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-11-309,FACTURE,28/11/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,PORT,PORTEUR,"4,00","85,00","340,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-11-308,FACTURE,28/11/2022,Services,Article,MC,MAITRE DE CEREMONIE,"1,00","0,00","110,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-11-308,FACTURE,28/11/2022,Services,Article,MC,MAITRE DE CEREMONIE,"1,00","0,00","110,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-11-308,FACTURE,28/11/2022,Services,Article,MC,MAITRE DE CEREMONIE,"1,00","0,00","110,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-11-308,FACTURE,28/11/2022,Services,Article,MC,MAITRE DE CEREMONIE,"1,00","0,00","110,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-11-308,FACTURE,28/11/2022,Services,Article,MC,MAITRE DE CEREMONIE,"1,00","0,00","110,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-11-308,FACTURE,28/11/2022,Services,Article,MC,MAITRE DE CEREMONIE,"1,00","0,00","110,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-11-308,FACTURE,28/11/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-11-307,AVOIR,28/11/2022,Produits,Article,PFSB,POSE ET FOURNITURE SEMELLE BETON,"-1,00","0,00","-400,00","0,00","100,00"
N° 22-11-307,AVOIR,28/11/2022,Services,Article,FC,FAUSSE CASE,"-1,00","0,00","-400,00","0,00","0,00"
N° 22-11-306,FACTURE,28/11/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","416,67","0,00","0,00"
N° 22-11-306,FACTURE,28/11/2022,Produits,Article,TRANB,TRANSFERT LIEU DE DECES VERS AEROPORT (BRUXELLE),"1,00","0,00","448,33","0,00","100,00"
N° 22-11-306,FACTURE,28/11/2022,Produits,Article,GA,"GESTION ADMINISTRATIVE : DEMARCHES ADMINISTRATIVES, LAISSER PASSER PREFECTORAL + LAISSER PASSER CONSULAIRE","1,00","0,00","625,00","0,00","100,00"
N° 22-11-306,FACTURE,28/11/2022,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,"1,00","0,00","208,33","0,00","100,00"
N° 22-11-306,FACTURE,28/11/2022,Produits,Article,TC,TAXES CONSULAIRES,"1,00","0,00","12,00","0,00","100,00"
N° 22-11-306,FACTURE,28/11/2022,Produits,Article,TRANS,TRANSFERT AERIEN PARIS - TLV (VOL TK OU AF),"1,00","0,00","2500,00","0,00","100,00"
N° 22-11-306,FACTURE,28/11/2022,Produits,Article,CZ,CERCUEIL ZINGUE AUX NORMES INTERNATIONALES EN VIGUEUR,"1,00","0,00","708,33","0,00","100,00"
N° 22-11-305,FACTURE,25/11/2022,Produits,Article,PFSB,POSE ET FOURNITURE SEMELLE BETON,"1,00","0,00","400,00","0,00","100,00"
N° 22-11-305,FACTURE,25/11/2022,Services,Article,FC,FAUSSE CASE,"1,00","0,00","400,00","0,00","0,00"
N° 22-11-305,FACTURE,25/11/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","416,67","0,00","0,00"
N° 22-11-305,FACTURE,25/11/2022,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,"1,00","0,00","208,33","0,00","100,00"
N° 22-11-305,FACTURE,25/11/2022,Produits,Article,FRC,FRAIS DE CULTE,"1,00","0,00","125,00","0,00","100,00"
N° 22-11-305,FACTURE,25/11/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),"1,00","0,00","541,67","0,00","100,00"
N° 22-11-305,FACTURE,25/11/2022,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,"1,00","0,00","227,27","0,00","100,00"
N° 22-11-305,FACTURE,25/11/2022,Produits,Article,GA,GESTION ADMINISTRATIVE : DEMARCHES MAIRIE ET AUTRES,"1,00","0,00","375,00","0,00","100,00"
N° 22-11-305,FACTURE,25/11/2022,Produits,Article,CBP,CERCUEIL EN BOIS DE PEUPLIER HERMETIQUE INCLUS POTEAU ET PLAQUES GRAVEES,"1,00","0,00","666,67","0,00","100,00"
N° 22-11-305,FACTURE,25/11/2022,Produits,Article,CF,CREUSEMENT DE FOSSE 2M EN PLEINE TERRE,"1,00","0,00","541,67","0,00","100,00"
N° 22-11-305,FACTURE,25/11/2022,Services,Article,ACH10,ACHAT CONCESSION 10 ANS,"1,00","0,00","226,00","0,00","0,00"
N° 22-11-304,FACTURE,24/11/2022,Services,Article,FRACR,FRAIS DE CREMATION ARCEUIL,"1,00","0,00","910,00","0,00","0,00"
N° 22-11-304,FACTURE,24/11/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","333,33","0,00","0,00"
N° 22-11-304,FACTURE,24/11/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE,"1,00","0,00","250,00","0,00","100,00"
N° 22-11-304,FACTURE,24/11/2022,Produits,Article,TRANC,TRANSFERT LIEU DE DECES VERS CREMATORIUM,"1,00","0,00","166,67","0,00","100,00"
N° 22-11-304,FACTURE,24/11/2022,Produits,Article,GA,GESTION ADMINISTRATIVE : DEMARCHES MAIRIE ET AUTRES,"1,00","0,00","166,67","0,00","100,00"
N° 22-11-304,FACTURE,24/11/2022,Produits,Article,URN,URNE,"1,00","0,00","165,83","0,00","100,00"
N° 22-11-304,FACTURE,24/11/2022,Produits,Article,CRCR,CERCUEIL CREMATION,"1,00","0,00","657,50","0,00","100,00"
N° 22-11-303,FACTURE,14/11/2022,Services,Article,REM,REMISE COMMERCIALE,"1,00","0,00","-225,00","0,00","0,00"
N° 22-11-303,FACTURE,14/11/2022,Produits,Article,DAL117,FOURNITURE ET POSE D'UN JEU DE DALLES 117,"1,00","0,00","130,00","0,00","100,00"
N° 22-11-303,FACTURE,14/11/2022,Services,Article,FPM,FRAIS DE POSE MONUMENT,"1,00","0,00","410,00","0,00","0,00"
N° 22-11-303,FACTURE,14/11/2022,Produits,Article,1SO,1 CASE EN SOUS OEUVRE 1M20,"3,00","0,00","3090,00","0,00","100,00"
N° 22-11-303,FACTURE,14/11/2022,Services,Article,EX1,EXHUMATION 1 CORPS,"1,00","0,00","195,00","0,00","0,00"
N° 22-11-303,FACTURE,14/11/2022,Produits,Article,DCM,DEMONTAGE COMPLET DU MONUMENT,"1,00","0,00","400,00","0,00","100,00"
N° 22-11-302,AVOIR,09/11/2022,Services,Article,FF,FRAIS DE FUNÉRARIUM,"-1,00","0,00","-400,00","0,00","0,00"
N° 22-11-302,AVOIR,09/11/2022,Services,Article,FRET,FRET AERIEN jusque 150kg,"-1,00","0,00","-2600,00","0,00","0,00"
N° 22-11-302,AVOIR,09/11/2022,Services,Article,TRA,TRANSFERT FUNE VERS CDG ROISSY,"-1,00","0,00","-454,55","0,00","0,00"
N° 22-11-302,AVOIR,09/11/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),"-1,00","0,00","-375,00","0,00","100,00"
N° 22-11-302,AVOIR,09/11/2022,Produits,Article,CZ,CERCUEIL ZINGUE AUX NORMES INTERNATIONALES EN VIGUEUR,"-1,00","0,00","-708,33","0,00","100,00"
N° 22-11-302,AVOIR,09/11/2022,Services,Article,DEM,DEMARCHES ET FORMALITES ADMINISTRATIVES,"-1,00","0,00","-291,67","0,00","0,00"
N° 22-11-302,AVOIR,09/11/2022,Services,Article,HON,HONORAIRES,"-1,00","0,00","-291,67","0,00","0,00"
N° 22-11-301,AVOIR,04/11/2022,Produits,Article,GO4598,MONUMENT GRANIT TARN SAINT SALVY AVEC JARDINIERE,"-1,00","0,00","-2198,33","0,00","100,00"
N° 22-11-300,FACTURE,03/11/2022,Produits,Article,CBP,CERCUEIL EN BOIS DE PEUPLIER HERMETIQUE INCLUS POTEAU ET PLAQUES GRAVEES,"1,00","0,00","666,67","0,00","100,00"
N° 22-11-300,FACTURE,03/11/2022,Services,Article,FC,FAUSSE CASE,"1,00","0,00","400,00","0,00","0,00"
N° 22-11-300,FACTURE,03/11/2022,Services,Article,SEM,SEMELLE,"1,00","0,00","400,00","0,00","0,00"
N° 22-11-300,FACTURE,03/11/2022,Services,Article,FF,FRAIS DE FUNÉRARIUM,"1,00","0,00","800,00","0,00","0,00"
N° 22-11-300,FACTURE,03/11/2022,Produits,Article,TAM,TRANSFERT AVANT MISE EN BIERE,"1,00","0,00","590,91","0,00","100,00"
N° 22-11-300,FACTURE,03/11/2022,Produits,Article,ACH30,ACHAT CONCESSION 30 ANS,"1,00","0,00","782,00","0,00","100,00"
N° 22-11-300,FACTURE,03/11/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","416,67","0,00","0,00"
N° 22-11-300,FACTURE,03/11/2022,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,"1,00","0,00","208,33","0,00","100,00"
N° 22-11-300,FACTURE,03/11/2022,Produits,Article,FRC,FRAIS DE CULTE,"1,00","0,00","125,00","0,00","100,00"
N° 22-11-300,FACTURE,03/11/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),"1,00","0,00","541,67","0,00","100,00"
N° 22-11-300,FACTURE,03/11/2022,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,"1,00","0,00","227,27","0,00","100,00"
N° 22-11-300,FACTURE,03/11/2022,Produits,Article,GA,GESTION ADMINISTRATIVE : DEMARCHES MAIRIE + CIMETIERE,"1,00","0,00","375,00","0,00","100,00"
N° 22-11-300,FACTURE,03/11/2022,Services,Article,CR2M,CREUSEMENT 2M,"1,00","0,00","541,67","0,00","0,00"
N° 22-11-299,FACTURE,03/11/2022,Services,Article,REM,REMISE COMMERCIALE,"1,00","0,00","-2745,00","0,00","0,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,NG,Démontage des protections et nettoyage général du chantier (8 et 6bis) (forfait),"1,00","0,00","1700,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,REA,Reprise des emmarchements d'accès au jardin (forfait),"1,00","0,00","0,00","0,00","0,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,PLL,Pose de lames sur lambourdes (m2),"8,50","0,00","0,00","0,00","0,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,FLT,Fourniture de la lame de terrasse (m2),"9,80","0,00","0,00","0,00","0,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,RSB,Reprise du soubassement en brique angle de la véranda (forfait),"1,00","0,00","1750,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,ETB,Evacuation des terres excédentaires à la benne (ens),"1,00","0,00","1130,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,RSO,"Reprise en sous œuvre des poteaux compris terrassement, scellement aciers, ferraillage et bétonnage (u)","2,00","0,00","4640,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,ETC,Evacuation des terres excédentaires par petits camions bennes (FFT),"1,00","0,00","950,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,CTEB,Coltinage des terres excédentaires jusqu'à la benne (FFT),"1,00","0,00","425,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,RPT,Remise en place des terres par compactage à la pilloneuse (m3),"16,63","0,00","665,20","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,FCG,Fourniture et compactage de grave ciment en pied de longrine (m3),"2,38","0,00","291,55","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,CLB,Coulage des longrines en béton CHF dosé à 350 kg/m3 (m3),"4,75","0,00","1520,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,MPPB,Mise en place d'une pompe à béton avec flèche (u),"2,00","0,00","2180,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,MPAM,Mise en place d'attente micropieux (diam.200) (U),"9,00","0,00","427,50","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,CL,Coffrage des longrines (kg),"5,28","0,00","211,20","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,AL,Armature des longrines (ml),"382,80","0,00","1875,72","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,DSF,Décrottage des sous faces de semelles (ml),"6,60","0,00","93,72","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,NRF,Mise en place d'étais en phase provisoire en cas de non rigidité des fondations existantes (U),"13,00","0,00","143,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,CTR,Coltinage des terres laissées en rive (m3),"16,63","0,00","473,96","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,2TSO,"2ème phase de terassement en sous oeuvre par phases alternées 6,6ml x 0,6 m de profondeur x 1,2m de large (m3)","5,54","0,00","1301,90","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,TSO,"1ère phase de terassement jusqu'à la sous face des fondations 6,6ml x 2,3 m de profondeur x1,2 de large (m3)","18,22","0,00","2733,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,FV,Frais de voirie pour dépôt du toilette chimique (45 jours),"45,00","0,00","0,00","0,00","0,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,PC,Protection circulation chez Mr CAUSSE (6bis)(ens),"1,00","0,00","950,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,MPF,Mise en place de protections au droit des façades et aux abords du pavillon jusqu'à l'arrière de la véranda (ens),"1,00","0,00","1140,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,ARM,"Amenée et repli des matériaux, mat (Forfait)","1,00","0,00","1615,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,WC,Mise en place d'un WC chimique (2 mois),"2,00","0,00","720,00","0,00","100,00"
N° 22-11-299,FACTURE,03/11/2022,Produits,Article,APRS,Adaptation d'un pièce pour refectoire et sanitaire (ens),"1,00","0,00","522,50","0,00","100,00"
N° 22-11-298,FACTURE,03/11/2022,Produits,Article,P4,"PROMO 4
TOMBALE ET STELE GRANIT TARN
Réf : GO707933","1,00","0,00","1666,67","0,00","100,00"
N° 22-11-297,FACTURE,03/11/2022,Produits,Article,GO4598,MONUMENT GRANIT TARN SAINT SALVY AVEC JARDINIERE,"1,00","0,00","2198,33","0,00","100,00"
N° 22-11-296,FACTURE,02/11/2022,Produits,Article,FR2,FRET 2 RELIQUAIRES,"1,00","0,00","2500,00","0,00","100,00"
N° 22-11-296,FACTURE,02/11/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","416,67","0,00","0,00"
N° 22-11-296,FACTURE,02/11/2022,Produits,Article,TCDG,TRANSFERT ROUTIER CIMETIERE - PARIS CDG,"1,00","0,00","181,82","0,00","100,00"
N° 22-11-296,FACTURE,02/11/2022,Produits,Article,EXT,EXHUMATION DANS LE PLUS STRICT RESPECT DE LA HALACHA,"1,00","0,00","250,00","0,00","100,00"
N° 22-11-296,FACTURE,02/11/2022,Produits,Article,CDT,CREUSEMENT ET/OU DEPOSE REPOSE TOMBALE,"1,00","0,00","700,00","0,00","100,00"
N° 22-11-296,FACTURE,02/11/2022,Produits,Article,ALL,"AUTORISATION D'EXHUMER 
LAISSEZ PASSER PRÉFECTORAL LAISSEZ PASSER CONSULAIRE","1,00","0,00","666,67","0,00","100,00"
N° 22-11-296,FACTURE,02/11/2022,Produits,Article,TC,TAXES CONSULAIRES,"1,00","0,00","24,00","0,00","100,00"
N° 22-11-296,FACTURE,02/11/2022,Produits,Article,2R,2 RELIQUIAIRES,"1,00","0,00","541,67","0,00","100,00"
